,Congestion_level,mean,max,min,prev_mean,prev_max,prev_min
1,1.0,5.894736842,6,5,6.157894737,7.0,5.0
4,0.0,4.105263158,7,2,3.052631579,5.0,1.0
5,0.0,2.842105263,4,2,4.105263158,7.0,2.0
6,0.0,3.315789474,7,2,2.842105263,4.0,2.0
8,1.0,7.473684211,8,6,6.315789474,8.0,5.0
9,1.0,4.368421053,6,3,7.473684211,8.0,6.0
12,0.0,3.052631579,5,2,2.789473684,4.0,2.0
15,0.0,3.631578947,5,3,2.631578947,4.0,2.0
16,0.0,3.0,3,3,3.631578947,5.0,3.0
17,0.0,2.368421053,3,0,3.0,3.0,3.0
18,0.0,3.105263158,4,2,2.368421053,3.0,0.0
19,0.0,4.578947368,6,3,3.105263158,4.0,2.0
21,1.0,5.315789474,7,4,4.947368421,7.0,3.0
22,1.0,4.736842105,6,4,5.315789474,7.0,4.0
24,1.0,6.105263158,8,4,5.894736842,8.0,3.0
26,0.0,3.631578947,5,3,3.684210526,5.0,3.0
28,0.0,3.157894737,4,3,3.157894737,4.0,3.0
29,0.0,3.315789474,4,1,3.157894737,4.0,3.0
30,0.0,3.631578947,4,3,3.315789474,4.0,1.0
31,0.0,4.0,4,4,3.631578947,4.0,3.0
32,0.0,2.842105263,4,1,4.0,4.0,4.0
34,0.0,1.947368421,4,0,2.0,3.0,1.0
35,0.0,1.631578947,3,1,1.947368421,4.0,0.0
37,0.0,3.736842105,6,2,3.578947368,6.0,2.0
38,0.0,3.631578947,5,2,3.736842105,6.0,2.0
41,1.0,5.105263158,6,4,4.894736842,5.0,4.0
42,1.0,5.368421053,7,5,5.105263158,6.0,4.0
43,1.0,5.210526316,6,5,5.368421053,7.0,5.0
44,1.0,5.736842105,7,5,5.210526316,6.0,5.0
45,1.0,5.736842105,7,5,5.736842105,7.0,5.0
46,1.0,5.105263158,6,4,5.736842105,7.0,5.0
47,1.0,4.473684211,5,3,5.105263158,6.0,4.0
48,0.0,3.684210526,6,2,4.473684211,5.0,3.0
49,0.0,5.0,7,4,3.684210526,6.0,2.0
50,1.0,5.368421053,8,4,5.0,7.0,4.0
51,1.0,5.894736842,8,4,5.368421053,8.0,4.0
55,0.0,2.0,2,2,1.736842105,4.0,1.0
57,0.0,2.210526316,3,1,2.315789474,3.0,2.0
58,0.0,2.368421053,3,1,2.210526316,3.0,1.0
59,0.0,3.421052632,4,2,2.368421053,3.0,1.0
60,1.0,4.684210526,5,4,3.421052632,4.0,2.0
61,1.0,4.789473684,5,4,4.684210526,5.0,4.0
62,1.0,5.315789474,7,4,4.789473684,5.0,4.0
63,0.0,2.736842105,4,0,5.315789474,7.0,4.0
64,0.0,4.210526316,5,3,2.736842105,4.0,0.0
67,0.0,5.315789474,8,4,3.0,5.0,1.0
68,0.0,1.473684211,4,0,5.315789474,8.0,4.0
70,0.0,1.0,1,1,1.0,1.0,1.0
71,0.0,1.631578947,3,1,1.0,1.0,1.0
72,0.0,1.157894737,2,1,1.631578947,3.0,1.0
74,0.0,2.631578947,4,1,1.263157895,2.0,1.0
75,0.0,3.368421053,4,3,2.631578947,4.0,1.0
79,0.0,3.684210526,6,2,3.578947368,5.0,2.0
80,0.0,5.578947368,8,4,3.684210526,6.0,2.0
81,0.0,3.578947368,7,2,5.578947368,8.0,4.0
82,0.0,3.157894737,4,3,3.578947368,7.0,2.0
83,0.0,2.105263158,3,0,3.157894737,4.0,3.0
84,0.0,0.0,0,0,2.105263158,3.0,0.0
85,0.0,0.0,0,0,0.0,0.0,0.0
86,0.0,0.684210526,3,0,0.0,0.0,0.0
87,0.0,1.105263158,2,0,0.684210526,3.0,0.0
88,0.0,0.157894737,1,0,1.105263158,2.0,0.0
