,Congestion_level,mean,max,min,IncreaseorNot
0,0.0,1000000.0,1000000,1000000.0,-65.98947368
1,0.0,1000000.0,1000000,1000000.0,257.3964912
2,0.0,1000000.0,1000000,1000000.0,638.3280702
3,0.0,1000000.0,1000000,1000000.0,476.6842105
4,0.0,1000000.0,1000000,1000000.0,-483.4350877
7,0.0,1000000.0,1000000,1000000.0,-13.10350877
8,0.0,842224.0161,1000000,149.4264832,504.7315789
9,0.0,368974.8281,1000000,219.212532,-528.9175439
12,0.0,737065.9917,1000000,147.9459534,-1385.294737
13,0.0,1000000.0,1000000,1000000.0,809.1578947
14,0.0,1000000.0,1000000,1000000.0,101.9122807
16,0.0,1000000.0,1000000,1000000.0,37.44385965
17,0.0,1000000.0,1000000,1000000.0,653.4280702
18,0.0,947369.6842,1000000,24.00045776,-3.028070175
19,0.0,1000000.0,1000000,1000000.0,-33.1122807
20,0.0,1000000.0,1000000,1000000.0,364.2245614
21,0.0,684483.4284,1000000,692.8897858,1453.233333
22,0.0,1000000.0,1000000,1000000.0,-768.1491228
23,0.0,579347.6524,1000000,652.2779846,2600.524561
25,0.0,105920.9069,1000000,265.1895552,-3098.310526
26,0.0,684408.2574,1000000,113.1812515,-700.5087719
27,0.0,1000000.0,1000000,1000000.0,21.1
28,0.0,1000000.0,1000000,1000000.0,221.7754386
29,0.0,684644.8337,1000000,386.6986389,692.4385965
30,0.0,894839.0825,1000000,843.5155334,-35.98070175
32,0.0,1000000.0,1000000,1000000.0,276.8666667
34,0.0,1000000.0,1000000,1000000.0,843.6754386
35,0.0,1000000.0,1000000,1000000.0,2021.017544
36,0.0,631797.4405,1000000,408.2762756,-4340.954386
37,0.0,1000000.0,1000000,1000000.0,-107.6035088
40,0.0,1000000.0,1000000,1000000.0,85.48245614
42,0.0,579229.5793,1000000,113.2806091,-413.1333333
43,0.0,1000000.0,1000000,1000000.0,42.47719298
46,0.0,1000000.0,1000000,1000000.0,-52.93508772
47,0.0,1000000.0,1000000,1000000.0,422.8315789
48,0.0,1000000.0,1000000,1000000.0,3332.398246
49,0.0,1000000.0,1000000,1000000.0,61.94385965
53,0.0,1000000.0,1000000,1000000.0,-4404.307018
54,0.0,579401.7459,1000000,105.641922,-3389.005263
55,0.0,1000000.0,1000000,1000000.0,-1904.401754
57,0.0,1000000.0,1000000,1000000.0,-382.8526316
58,0.0,1000000.0,1000000,1000000.0,-26.74035088
59,0.0,1000000.0,1000000,1000000.0,265.7491228
61,0.0,1000000.0,1000000,1000000.0,-77.8877193
62,0.0,1000000.0,1000000,1000000.0,514.8105263
63,0.0,1000000.0,1000000,1000000.0,-157.1385965
65,0.0,1000000.0,1000000,1000000.0,1475.536842
66,0.0,1000000.0,1000000,1000000.0,-2953.052632
67,0.0,1000000.0,1000000,1000000.0,29.07017544
68,0.0,1000000.0,1000000,1000000.0,452.1052632
71,0.0,789520.3586,1000000,121.3270736,2310.436842
72,0.0,894829.0341,1000000,778.6466599,-1847.014035
73,0.0,1000000.0,1000000,1000000.0,-971.2789474
74,0.0,1000000.0,1000000,1000000.0,-14.63684211
76,0.0,1000000.0,1000000,1000000.0,78.11403509
77,0.0,1000000.0,1000000,1000000.0,931.5210526
78,0.0,1000000.0,1000000,1000000.0,-463.045614
80,0.0,894792.0886,1000000,402.885376,1441.37193
81,0.0,894845.4036,1000000,1010.812366,1819.596491
82,0.0,842232.323,1000000,626.6522013,456.3684211
83,0.0,1000000.0,1000000,1000000.0,492.3561404
85,0.0,1000000.0,1000000,1000000.0,180.8508772
88,0.0,1000000.0,1000000,1000000.0,179.6315789
